text,label
i have seen many of shahrukhs movies and this is a very good role for him he has such versatility but he mainly stays in positive roles as rahul he is very dark and disturbing yet i found myself sympathizing with him much of the movie if for nothing else watch this movie for shahrukh he plays a very complex and real character very convincingly the story is very typical and has been done before but the character development is very strong and entertaining the opening is a little confusing but by the end it doesnt matter the songs i found very likable and give insight to what characters are thinking very clever i think this movie was very good and recommend it to all shahrukh khan fans it is a must see,1
a frank capra wonders of life filmkeeping the blood pumping through our veins is the responsibility of hardworking hemo the magnificentin the mids att and bell science teamed with famed hollywood director frank capra to produce a series of cbs television science films to educate the public about the universe around them a far cry from the dreary black white fodder so often foisted off on young scholars the capra films would both instruct and entertain with lively scripts and eyecatching visuals shown in technicolor the four films our mr sun the strange case of the cosmic rays hemo the magnificent the unchained goddess quickly became schoolhouse favorites where they were endlessly shown in mm formatthe star of the series was dr frank c baxter an affable english professor at the university of southern california this avuncular pedagogue proved to be the perfect film instructor genially imparting to his audience the sometimes complex facts in a manner which never made them seem dull or boring dr baxter who won a peabody award for his achievements continued making high quality instructional films after the capra quartet were concludedhemo the magnificent which was produced written directed by capra relates the story of the human heart and blood circulation system using animation and gentle humor film star richard carlson appears as the fiction writer energetically helping dr baxter tell hemos talemovie mavens will recognize sterling holloway as part of the tv production crew and the voices of marvin miller mel blanc june foray pinto colvig as various cartoon characters all uncreditedthe devotional scripture which begins the film is completely in tune with the tenor tone of the production,1
i saw this movie just recently and i said to myself this movie is bad william shatner is a great actor but he is no director its not just that the acting is bad its terrible and instead of a plot we have a very bad storyline that is called a plot what i really thought was bad was at the beginning where kirk and mccoy were teaching spock how to sing row row row your boatdo i have something against william shatner i do not but when it comes to being a director he sucks this film is not one of the worst movies i have ever seen but it is the worst of the star trek series i noticed that after this shatner did not return to direct another film in the series they apparently did not want him to direct another film again after this happened overall this movie sucks,0
if there was some weird inversed oscar academy awards festival this flick would win it all it has all the gods excellent plot extreme special effects coupled with extremely good acting skills and of course in every role there is a celebrity superstar well this could be the scenario if the world was inversed but its not instead its the worst horror flick ever made not only bad actors that seem to read the scripts from a teleprinter with bad dyslexia but also extremely low on special effects for example the devil costume which by the way is a mustsee is something of the most hilarious ive ever seen whenever i saw that redblack so called monster on screen i couldnt hold my laugh back and to top of things it looked like the funny creature was transported by a conveyorbeltdo not do the same mistake as i did checking imdb seeing that the movie was released in had less than five votes and thinking well its worth a shot cant be that badyes it couldim not even going to waste more words on this movie,0
ive never really been sure whether i liked this documentary or not it was shown on channel before a cut down version of revelations and is on the revelations video tape before the uncut show the documentary is basically friends of bill saying how great he was for an hour with video clips of the show mixed in a bit like a trailer for the film youre about to watch it also features david letterman grovelling like a worm for dumping bill off the his show before he died the reason bill made a joke about how prolife people should picket funerals and letterman had prolife advertising anyway look out for the video as revelations is bill at his ranting best,1
the only thing great about the movie is its title in this case snake on a plane is example of not judging the book by its cover the title says nothing about the movie when i went to the theater i wasnt expecting citizen kane i was expecting independence day a movie thats pure popcorn fun but instead i got that horrible roy liotta movie called turbulence yes this is how bad soap is the only thing make soap better is its title and its not even the apporiate title for the movie the wasnt even a glimpse of snake or plane minutes into the movie what a false advertising if it wasnt for its title soap would be just another unforgettable cheap bgrade summer movie and the r rating it has to be the most undeserved r rated movie of all time the makers of the movie only add a few f word to make this a r all of the violence are kept pg level you know whats really r rated the r rated superstar edge see him at summerslam instead of waste your money on a snake,0
this is by far the most repulsive and atrocious version of the scarlet pimpernel ever to be devised as a pimpernel fan i was sincerely offended by what they did to the charactersbut this atrocity is not worth watching even if you arent familiar with the storypercy blakeney for example would never stab people in the back just to get down a hallway chauvelin would never have a string of women in his bed marguerite never had an affair with chauvelin nor armand with minette whoever the heck she is chauvelin would not randomly shoot tony in the head chauvelins name is not nor has it ever been paul they have completely eradicated any reference to the pimpernels disguises replacing them instead with james bondesque gadgets and gizmosas to the film itself the makeup is horrifying the women look like clowns elizabeth mcgoverns beauty mark wanders around her face at random the poor pitiable actors have no script to work with so its not really their fault that their characters are as thin as wet tissue paper the dialogue oh the dialogue the dialogue is unbearable and whoever is responsible for all those little captions at the bottom of the screen should be forced to watch this movie as penance i counted location captions in the first halfhour before i gave up as if we cant figure out that the body of water between england and france is the english channelthe filmif i can bring myself to call it that since its really just videotape with a filteris absolutely without redeeming value do not waste your time and brain cells on this rancid drivelinstead go watch the anthony andrewsjane seymour version or the leslie howard film or indeed anything but this one,0
this dvd usually sells for around i wouldnt pay this much for the dvd if i had known what i was getting but regardless this is a pretty good disc it displays the knot in all their glory with footage from their concerts playing surfacing wait and bleed and scissors among other tracks including the spit it out music video which was apparently banned from mtvslipknot for those who dont know is essentially a symphony of the damned nine masked men who display total chaos on stage with machine gun drums squealing guitar and vocals that will tear your face off and leave you wanting more for those whove never seen slipknot before i cannot recommend enough you get this dvd probably off ebay or amazon so you can get a better deala short though well made show of the knotseven out of ten,1
the film had it moments but was disappointing in my eyes anyway it was a reworking of trespass walter hill and so the treasure of the sierra madre with less tension bite and human emotion there was some nice acting but the story was limp and lacked any real depth i watched the movie for mr reno and mr fishburn neither were inspired and both had little to say or act out of their skin for this movie has been done to death in the past and did not have to be made eats up money which could be used on better movies for an action movie it was sparse of action and as a thriller did not thrill better than watching snow fall but not for me,0
dudei liked buffy and angel as much as the next scifi freakbut this is too much the worst lead actress ever not even david hot pants boreanaz is able to save this crap no wonder i never watch fox it blows we totally gave it a chance and it continued to suck we watched four or five painful agonizing episodes i want to kill the execs at the network so bad why is money being spent on this drivel i dont get it and i dont support it and you should never waste your time watching this showunless you like it when your eyes bleed from their sockets crap crap crap,0
